seller,A01,A02,A03,B07,B08,B09,C10T12,C13T15,C16,C17_18,C19,C20,C21,C22,C23,C24A,C24B,C25,C26,C27,C28,C29,C301,C302T309,C31T33,D,E,F,G,H49,H50,H51,H52,H53,I,J58T60,J61,J62_63,K,L,M,N,O,P,Q,R,S,T,TXS,IMP_OTHER
A01,0.12790870220559084,0.012678081035823479,0.008497871458929282,0.0008818999023658329,0.0009354183001452525,0.0025289186531166578,0.20182709212116615,0.011214252447854869,0.0025231960234678957,0.0011362282519756088,0.0003994972929653843,0.0031837829315384666,0.00386575688895143,0.002616438409874181,0.0008767815838610824,0.0008217217699216024,0.000673917129075063,0.0007770198351099116,0.00123069899379549,0.0009846755174714133,0.0009886737263062532,0.0006769027871318986,0.0009068989486488835,0.0009910527471247376,0.001382049287371211,0.0012146153943666644,0.0009135261128811132,0.0017397595379848956,0.0025870405300854227,0.0007311937116991692,0.0010565743327312492,0.0009586635216847747,0.0007668321180515342,0.0004486544851988885,0.02586088938334371,0.0006346207818326666,0.0006370600064473542,0.0004201204871818386,0.00030348888065262264,0.00030458486753656374,0.0011911865883725027,0.0014531453481032974,0.0008394838780890678,0.0005460654430685551,0.002204425020962618,0.0018845969410510148,0.001968628191130674,0.0,0.0,0.0
A02,0.007488389647815678,0.31483821442379084,0.0012522198972621074,0.0004868406700843059,0.0005654551072788157,0.00025757504800262256,0.004209128546485049,0.0009250685966124916,0.231634360653784,0.01748477963352587,7.506573710638675e-05,0.0009080871259917681,0.00038522838753975787,0.005200255637152077,0.0005914088241076896,0.0002654549594250113,0.00026102424013470753,0.0001715923060830648,0.0002467162385688383,0.00019623713284394853,0.00021353872516852515,0.00012625224744895524,0.0003068250934051612,0.00019175884980532893,0.006750232028225896,0.004679121517629332,0.00019290895539027646,0.0008682122877534038,0.0007971086692845408,0.00011031616753255549,0.000171935980654429,0.00013856947416928409,0.00010520344826495432,7.103696015649068e-05,0.0012556850220731067,0.00014473255311999337,0.00011705018190749582,8.43471289942179e-05,3.817535263706077e-05,5.010175412781655e-05,0.00013216261534075463,0.00017250118032161672,0.00031216680847643067,0.00011885898005861522,0.0002246712993485134,0.0007493807597920038,0.00046184642325256133,0.0,0.0,0.0
A03,9.607964944709074e-05,3.39135475844976e-05,0.01071136796877364,2.7933481070410997e-05,2.522476314998434e-05,4.683182690956774e-05,0.004205096009455964,2.571987940302774e-05,1.696613972319536e-05,2.2618126795767387e-05,1.1444325015216435e-05,3.072711950381243e-05,2.495002509972525e-05,2.1486067383130302e-05,2.3481027955572642e-05,2.2451414478732307e-05,1.8034402045670702e-05,1.6351857637457037e-05,2.593979143831244e-05,2.040221900976756e-05,1.902820323283887e-05,1.3245889270723722e-05,0.00011132591884612043,2.5089942965183225e-05,1.8773459490981113e-05,4.536682704672114e-05,1.7349781384165558e-05,1.6300797906915215e-05,3.8093275493143295e-05,1.5273203574523108e-05,5.916076753700784e-05,2.1926687222636392e-05,1.7346834340487137e-05,1.0468604654640732e-05,0.0011765967824866137,1.5417163267129727e-05,1.5793656322953406e-05,1.1036911559881705e-05,8.431683577020197e-06,4.662811595905475e-06,2.1980533629611056e-05,1.4359143755961437e-05,2.4993747737491996e-05,1.050687116540245e-05,3.8641809558352306e-05,3.0180378059535825e-05,2.7914939429789453e-05,0.0,0.0,0.0
B07,1.2616519624365452e-05,5.186777865864338e-06,5.818865693597153e-06,0.004607694210852557,0.0008071924207994988,0.0006322296632791644,1.6088142522292266e-05,8.08559083029315e-06,5.793316003042318e-06,7.740963181439106e-06,0.00018039870221354327,0.00019771138369256358,1.1477011545873614e-05,2.02314065140424e-05,0.0006643565509563352,0.008047379352041613,0.01867414872876449,0.00032346018389094704,3.285706915519576e-05,0.00010013194329793817,0.00011443349999748933,5.714655085369378e-05,6.516639151968025e-05,6.630913497941281e-05,4.708031637972607e-05,0.00016978914888012096,3.126396249423893e-05,0.0001434033865577761,7.135118165124364e-06,8.203892205743841e-06,5.546321956594484e-06,5.930989166778696e-06,1.1326462422318071e-05,5.234302327320366e-06,5.751170179788913e-06,4.09026780556503e-06,6.78979617622296e-06,4.57628040287778e-06,3.1036872062651027e-06,9.450799342036602e-06,9.220647581913113e-06,7.785846836565756e-06,7.600139618135321e-06,3.064504089909048e-06,4.961788775975199e-06,7.101265425773135e-06,9.791060844776898e-06,0.0,0.0,0.0
B08,0.0008525855761542346,0.0001863250202583574,0.0005167152735914272,0.004502611115397201,0.038131433628393,0.006614995550976443,0.000578080985357144,0.0001464647024687388,6.414028431939709e-05,0.0007069676530548683,0.0019139880671830065,0.004278625460088242,0.0001796401807180218,0.0003326419629169297,0.05137288874250642,0.008695564894757013,0.005833654472246954,0.0003924445832989689,0.0001492979107227316,0.00036079713617273167,0.00022199570438312017,0.00010702678530744768,0.0001303327830393605,9.946370246911922e-05,0.00045452305439492555,0.0021465672376317006,0.0006302608702822122,0.008695182216583745,5.922344636782289e-05,8.134071846546021e-05,6.748025047189955e-05,5.104245222318635e-05,5.7652714131619e-05,2.3928239210607386e-05,0.00012853286374964486,2.4226970848346714e-05,2.2583452499176367e-05,1.2472607372549245e-05,5.6900932114860216e-06,0.00010320773586104871,3.664974569174556e-05,0.0002816306728669237,0.00011282891835782102,1.561437798191753e-05,3.1762966028023056e-05,5.1878689082731516e-05,7.249551434005021e-05,0.0,0.0,0.0
B09,1.1160767360015592e-05,4.388812040346748e-06,0.000159436920004562,0.0012490256535769488,0.002463618534315137,0.01396759237577858,9.493264255974025e-06,4.6973432442655445e-06,5.793316003042318e-06,3.676957511183575e-05,0.001331230990750275,3.311980503894536e-05,5.489005521939555e-06,1.5212763037690796e-05,0.00019614485352221678,8.610777788313801e-05,0.00011864738187941251,8.584725259664944e-06,6.052618002272903e-06,6.979706503341534e-06,8.456979214595055e-06,4.9199017291259546e-06,5.430532626640021e-06,7.168555132909493e-06,7.040047309117917e-06,0.0005173988944907393,1.1509260918208837e-05,5.501129695163547e-05,6.820622598617504e-06,1.937514967739503e-05,2.6807222790206676e-05,2.8576584167206448e-05,1.7550914744492863e-05,1.869393688328702e-05,4.516019537149684e-06,1.3214711371825482e-05,7.970630293826952e-06,7.178479063337695e-06,3.51751216710045e-06,2.2218766665052934e-06,1.019859505272208e-05,8.168757336724729e-06,4.692703656835232e-06,2.334860258978322e-06,4.059645362161527e-06,7.298522798711278e-06,5.208011087647286e-06,0.0,0.0,0.0
C10T12,0.0887384848782763,0.0009116759556538472,0.042462590512455864,0.0005041328250326556,0.0009028363144098561,0.0007493092305530839,0.14157489809547896,0.004497359631062961,0.0004113254362160046,0.0021594868225220903,0.00047343365589263783,0.007934019303683175,0.00703590707812252,0.001630745464596999,0.0005934438465305059,0.00025964400508933944,0.000578999223571533,0.0003592298724728843,0.00041849530187144067,0.00048643185323287927,0.00045376979098311595,0.00023660942777304204,0.0003855678164914414,0.0003207928421976998,0.0009624331342173286,0.0003674930056942531,0.000877108749975736,0.0003083749416654285,0.004166142425489268,0.0005212089814117258,0.0032917420812388263,0.0006272470361229592,0.0008754028929825832,0.0006326028241304327,0.11640947420756498,0.0017899641189122657,0.0006411929258589682,0.0006534210567403137,0.0003982547966839171,0.00022462860157992955,0.0006015308324018772,0.0009815272487408307,0.0015004919942730654,0.0020848842825014558,0.005506006790358297,0.008293883502557145,0.0034487449422400326,0.0,0.0,0.0
C13T15,0.0010585259964842613,0.0008606061428207214,0.006973328647206828,0.002025842460487426,0.0012276051399659044,0.0022128038214770758,0.0012219007254072054,0.23211844635911233,0.0013167379658343328,0.006765964678226908,0.0002733085513502346,0.002078488145124689,0.001604785614414328,0.005343443808836733,0.002450793157816302,0.000839418767216603,0.0008248365988256757,0.0014552131306234423,0.0015990440322195267,0.0015752660677541587,0.0018039793787133075,0.005591884614528727,0.0029976540099052916,0.002295729781314265,0.01565985190087144,0.0006725143710820643,0.0015583882843282172,0.0013393146976253415,0.002472858983470526,0.0006709736518910494,0.0005444639387390252,0.0006987783600131991,0.0008392806614735687,0.0023038407814962923,0.0033516970641742972,0.0010178474116156054,0.000505397002334509,0.0003433107612041252,0.00021617181391636443,0.00013149754581204568,0.0012586649638583213,0.002770102194983387,0.002111614630278967,0.0008257379234643023,0.0039366907327205046,0.0061179374216764944,0.0070026917084505405,0.0,0.0,0.0
C16,0.0031244325598986256,0.005938860656414667,0.0017165653796111602,0.0031578135267217003,0.0024331386121755724,0.0025874584367536176,0.0035183465522837538,0.0024880518069216357,0.1882498723401438,0.021425413703077215,0.0003163000617692384,0.003321551246035068,0.0012130702203486416,0.003197660057479151,0.008044913257951928,0.00556213983638994,0.006725882783980137,0.003510335038321089,0.0016722518880565417,0.00330784398208363,0.002400724974543171,0.0038113343333601277,0.01298983404292293,0.0027150902565894705,0.06178990856151886,0.0026658763143138807,0.013533688379717657,0.03186849625825002,0.0022491543558196157,0.0009391711066596752,0.00046219349638287367,0.00039306282750742447,0.002677432860353188,0.0004808080566381422,0.002191736216905731,0.001199392374985684,0.0004197865288082195,0.0003095719096064381,0.00020934370206258116,0.0012810214273717493,0.0018230803612966395,0.0015757405265708615,0.0009384897237186025,0.0005622635361152172,0.0014462486602700437,0.0016512414688651922,0.004800327979706256,0.0,0.0,0.0
C17_18,0.0027812632261158855,0.0007125834821872084,0.0029746041425668646,0.0034278371770690066,0.0023553622591297877,0.0025406266098440496,0.020638398498081585,0.006699181522592218,0.005848145600928255,0.25914325680463923,0.001007702934234584,0.007157403951306079,0.01388568696900109,0.007839121110061204,0.011102456178140228,0.0024572412811252544,0.003741663834949153,0.003946316442579787,0.005491453847490744,0.00631099693027139,0.0042826671303910265,0.0028440816534139653,0.002077178729689808,0.0032213694628512035,0.009491450449213684,0.006030835897463504,0.003792387362556664,0.0017250483016329568,0.008056098775666794,0.0021967230512614094,0.0023239088998130886,0.0013644869622479957,0.0033608981333683808,0.010301854737641811,0.005048253668754444,0.04864146474377933,0.005461210189653768,0.007616545748177878,0.00596239003571568,0.0006126120792043328,0.011134211368723173,0.01015823265871736,0.005622369057373047,0.006249691269454038,0.006721419504618768,0.008185589204814105,0.011547202183531561,0.0,0.0,0.0
C19,0.0268555236724243,0.018056769682724797,0.07006263427032589,0.04730601527562365,0.03675142887772927,0.05310729171544981,0.009182548876764115,0.005406334051641821,0.007873530256420442,0.010915120943478268,0.13891949911201074,0.07679676831298543,0.007104769147397762,0.01121902065877537,0.020227653262234867,0.02769395182666029,0.01323630192246726,0.005282263211560028,0.0028052443341010556,0.008061292561109344,0.004275795834779168,0.00549129154686706,0.004167933790946216,0.003999157694771884,0.009244608790437737,0.06879590623644964,0.017869931265663115,0.009620836895431691,0.013370346578635164,0.11548304866409215,0.2221440601665006,0.3254707587855922,0.025755049025725257,0.02535944701839184,0.0056809981839039715,0.0035830745976749663,0.004038157473676255,0.0030465465144805175,0.003009024746474017,0.0007802542383940351,0.0048307810922332065,0.008297925812111688,0.007093990722626886,0.002421833803625265,0.0056585066166017165,0.007263608243701226,0.010076668172823475,0.0,0.0,0.0
C20,0.09727957751351886,0.004295051055848431,0.007666937437883609,0.0375292969009798,0.028750974831992567,0.027630777876644964,0.01855072047364836,0.06177221981964666,0.027096373466943754,0.06328346258121208,0.03152459792020475,0.32962315958406563,0.09393784250146955,0.2452452665958306,0.04340577595718062,0.014481162338782336,0.02300050686161539,0.01722668202106099,0.02356543586199224,0.030069380967145714,0.013524295447740229,0.01866141433096224,0.0265009992180033,0.0115619833599914,0.033648639452190446,0.004955707216303648,0.020853406543684772,0.010507126549888748,0.003853730392110517,0.004112331881302596,0.004987067825971207,0.005889292515666797,0.004533544134785312,0.001601696512160032,0.006027496537621858,0.007134056324875499,0.0008107902259998418,0.0019516489953449357,0.0006425149798169807,0.0014293551653891449,0.00474346435376812,0.008206218747323614,0.001805670754912687,0.0020798497400680337,0.01650219527202424,0.004839315130291454,0.02277963217692572,0.0,0.0,0.0
C21,0.0060718456444523086,0.0003534988607042926,0.0012068327448520495,0.002317148763078855,0.0012822587934575372,0.0016508218985622626,0.002204033519959987,0.002326648012823593,0.001074867022707316,0.002084254336602479,0.0009465661453375067,0.009855345788394922,0.09109453764110487,0.006893106814768926,0.001536441929226303,0.0008045530412025717,0.000939687264484947,0.0008374195092582686,0.001524395076858161,0.0013248019843842488,0.0010447012136029453,0.0008295711223264687,0.0011512729168476844,0.0008279681178510465,0.0017309716321293677,0.0004006607146547267,0.0012687671812222456,0.000754885899245672,0.000565679244281306,0.0004739056880552027,0.0007626192690317415,0.0008015821722373632,0.0004242831599279148,0.0003559325582577849,0.0006087362745332279,0.0005767277605846692,0.0003613352399868219,0.00030167558263676663,0.00014964945146208236,0.00011225171271485196,0.001760910843509498,0.0005452645522263757,0.0011672080193408762,0.00040502529054964586,0.0456394353048337,0.0011813744065265362,0.0017784316262097952,0.0,0.0,0.0
C22,0.007994797335507516,0.0021971989005626852,0.0056117140749050946,0.0076231800006916865,0.005995085375312945,0.006860862642251673,0.02640009580635892,0.018915508194014753,0.00731737192012838,0.019072523753568858,0.0016856286081622736,0.01723791404163877,0.020273891395534743,0.1020966167285502,0.00975261015106754,0.002656926802841979,0.006109865577262227,0.011562296336335638,0.020644903565943132,0.03388164296922084,0.02133933708382743,0.0399830573722608,0.010790468329133721,0.0222010152466207,0.022722632696091715,0.0013373446001667415,0.00787783142849339,0.016078664471575663,0.009642257165344137,0.010160695047711743,0.002693663696919388,0.0015763850297519984,0.0037330387500728317,0.002634349585592807,0.0024103192821952916,0.0024579363151595395,0.0012304291505433609,0.0007191938711581453,0.0006173751134462334,0.0008735730583872574,0.0025111828293287006,0.004084059576278899,0.0008711596277727057,0.000843614197322105,0.003131151842802713,0.0023950990222149277,0.004060582084816836,0.0,0.0,0.0
