sector,b_share
A01,0.011444570724472058
A02,-0.0003314195327728651
A03,0.002918428844036489
B07,0.002768537136903687
B08,0.00035487382549932115
B09,0.00018213312427608645
C10T12,0.06459857809173883
C13T15,0.03685110802385932
C16,0.005408837434204142
C17_18,0.012040740468821502
C19,0.008590892363778885
C20,-0.012861171298978699
C21,0.00014534990852372884
C22,0.006307207669685488
C23,0.004837946113844815
C24A,-0.004700226262277217
C24B,-0.0028802085587333
C25,0.009710950136445429
C26,0.003854496419740922
C27,0.003142908166767433
C28,0.006313581834913812
C29,0.03054072562459306
C301,0.0010533349216589154
C302T309,0.002077545508266176
C31T33,0.01527316695087565
D,0.009539358267327302
E,0.006222062328218204
F,0.08396795738434072
G,0.08915606670028613
H49,0.022173130810017632
H50,0.0022264489727279197
H51,0.01958828739727475
H52,0.012070099511507526
H53,-0.00032142181108399013
I,0.09353508115304696
J58T60,0.0028930804195238364
J61,0.013600080344129158
J62_63,0.01607601117916581
K,0.025117389846868916
L,0.10749134886189238
M,0.018332930967584694
N,0.004014884087575925
O,0.07380734447953027
P,0.054333474995175116
Q,0.1013245045929196
R,0.014710725105353876
S,0.017286913159369408
T,0.005211353607104279
