seller,A01,A02,A03,B07,B08,B09,C10T12,C13T15,C16,C17_18,C19,C20,C21,C22,C23,C24A,C24B,C25,C26,C27,C28,C29,C301,C302T309,C31T33,D,E,F,G,H49,H50,H51,H52,H53,I,J58T60,J61,J62_63,K,L,M,N,O,P,Q,R,S,T,TXS,IMP_OTHER_plus
A01,1.179179596331679,0.024114829059347254,0.023965896835029928,0.005268151075149825,0.004504406553922187,0.008112356284516809,0.28074567875568757,0.022667473824773167,0.012982632274893238,0.007730687682832611,0.002550298024026607,0.013029299520654585,0.011058466459651585,0.010066405170606972,0.0051307586374685354,0.005782053116478879,0.005499825439006441,0.004902077149624144,0.006815482761732821,0.006224920630999096,0.0054955560700356175,0.0061394040676222925,0.0055581839681239495,0.005825574647132689,0.006506721452285114,0.005783489284715417,0.005141506135491067,0.006340142495786492,0.006816873677531752,0.00387411507668665,0.0059532653040144995,0.0061287899351823065,0.004369322859460635,0.003674562087826001,0.06538168330743299,0.004654530484990438,0.003842392265944848,0.0029104879342431817,0.0022984120981602548,0.0012072419986665377,0.004632667232604656,0.004939308046922658,0.003113449535131269,0.0022931100449347735,0.0075310985584610655,0.008781342532497911,0.00694121611200616,0.0,0.0,0.0
A02,0.020340194085055698,1.465870263069407,0.006051452703412748,0.007428969843610668,0.006344887003593964,0.00752978376137023,0.018614364856102815,0.00800756243340431,0.42130688604766126,0.05209212760344563,0.002628325401155749,0.009796561868708201,0.005764425036936966,0.015902414293110206,0.010513414200631361,0.011165725924922472,0.011414674535353934,0.00774278542937116,0.007249011334393778,0.008196697935911485,0.007183991787253893,0.00887447849603434,0.012213998881158344,0.007664349345350223,0.04160475669166042,0.017412666564661356,0.012812778248887543,0.022204048570204266,0.005329790603143461,0.0038468736260064786,0.004336500906492476,0.005029496074801543,0.004809654062934715,0.0035906346571864083,0.008081802269933576,0.006245743244476955,0.0038162138842864216,0.002374896266435867,0.001835739859145328,0.002133857176548082,0.004110799307041922,0.003453270506886587,0.0030527918645340967,0.00188371924202235,0.004575365370424928,0.006070763850552877,0.006374070749184517,0.0,0.0,0.0
A03,0.0007003999453734367,0.00010465678289287154,1.0110863997564732,0.00011310822552656997,9.227963543614384e-05,0.00014727210255843662,0.0051758320592493485,0.0001392455814538238,9.634364691462318e-05,0.00012310581784867705,5.041979585918586e-05,0.00018584021126958228,0.00013681804006197544,0.00013035782347190454,9.839136036619403e-05,0.00011579694756838274,0.00010800568132026611,9.148428970798024e-05,0.0001231791502251623,0.00011270556883260596,9.925265279464007e-05,0.00010508512427200504,0.0002064309054698317,0.00011290464976418227,9.249359068478377e-05,0.00013576588041583468,9.229386713623398e-05,8.712781496635064e-05,0.00011351511876087781,7.650095419590036e-05,0.0001591688763214688,0.00012961543795145735,9.052392674432524e-05,7.594530756848086e-05,0.0018541341140907133,9.274144961536408e-05,7.898055803168779e-05,6.298295785363029e-05,5.1844962436570686e-05,2.0146457904626224e-05,9.106695869287618e-05,8.506384407714571e-05,6.911994599282075e-05,4.468641977914082e-05,0.00013217241355241143,0.00016191270642732105,0.00012370986058691827,0.0,0.0,0.0
B07,0.00036140440998408315,0.0001978071240352448,0.00019680095802497268,1.0052048702220011,0.0011875119116932875,0.0012842614167294277,0.0004224553060601056,0.0002939574240136771,0.0003354792128432477,0.00038723663492291096,0.0003681017145665819,0.0007953548146333648,0.00029119400328107457,0.0006085688571446855,0.0013742340446089053,0.013047016915130473,0.027496549111964537,0.004373783083808222,0.001448848995402587,0.0029644317023985096,0.002772943160861475,0.002187235405715235,0.0021574739935868864,0.0023418300353509297,0.001113426499106685,0.0007287596192617175,0.0007498279448689227,0.0012621792947320298,0.00023296221229696988,0.00025423398401380867,0.0003278795090589722,0.00037245789461868184,0.00023278244413756652,0.00016000796647326428,0.00019780124039612586,0.00015405610664033493,0.00023037832978516106,0.00011308328547567205,7.187908757036691e-05,0.00010476759608723297,0.00017696475817663852,0.00014514784058125622,0.00013505055837930235,6.69105917003913e-05,0.00017927807596350887,0.00020513939098120476,0.00020964467625316855,0.0,0.0,0.0
B08,0.003983671354497047,0.0015978735501005457,0.001856915723784754,0.007792896832877735,1.0421010555175598,0.010102438715872694,0.0038062501933609247,0.0022306534931899155,0.0020825044982099405,0.0035067118030656847,0.0034233135166685546,0.00930259854142596,0.0025806385544373356,0.004688742212760535,0.06520591836915997,0.017043371783515105,0.012402624747582167,0.00581134185676273,0.0035401496684149252,0.004748793564078814,0.004349433645597046,0.004428492575547436,0.004236140949535666,0.0038509204152333497,0.0032317141416086546,0.006235242678240152,0.00379681588104929,0.019695075175172504,0.001340335834583552,0.0016264555020118585,0.002073307535954152,0.0022741327071034547,0.0016732031503752895,0.0011686850283274645,0.0017940102303005384,0.0010985117218224392,0.0013436623734816979,0.0006297608776944588,0.0005372848105295095,0.0013175819526976063,0.0011940861277795322,0.0011847597169479338,0.0011419298873556719,0.0005682048548909821,0.0013610856529085412,0.0014488000661406026,0.0015422053326609945,0.0,0.0,0.0
B09,0.00023000948956457214,0.00011603469193684675,0.00035519206466138524,0.0015562867371169797,0.00282174676922509,1.0144257796682696,0.00021426713314010905,0.00015575326779264506,0.00014320996439363796,0.0002757283194578904,0.0016690123144444957,0.0004287070355413424,0.00014337983152257924,0.0002553158066985111,0.0006206043441227258,0.0004928423748103733,0.0004963464154488339,0.0002286105797632785,0.00017873091161470014,0.00021227146799076776,0.0001910237552582478,0.00020595301318419396,0.00018092962923657992,0.00018849484934771186,0.00015251849627252536,0.0010852696266759872,0.0002226204387409597,0.000273721403301964,0.00011529755325981739,0.00030570128653475823,0.0005021537227947056,0.0006552412303707341,0.0001636627981064174,0.00016567627469383394,0.00013169128874567038,0.00010325732343258309,0.00010440204304064296,5.797595275768805e-05,4.638647451745592e-05,3.523258088619612e-05,8.102721736799263e-05,7.520672205588906e-05,6.499782857890502e-05,4.250404636130476e-05,0.00010095501789681872,0.00012568067920884886,0.00011954587114080758,0.0,0.0,0.0
C10T12,0.12709776467167372,0.006412188456153864,0.0547006926569353,0.006338270294525652,0.0053360321808219886,0.0077250669808731215,1.1992711364619943,0.014021802047462515,0.005889541863169754,0.009341178473898452,0.0031766739252421516,0.019943132779489777,0.01524285836569403,0.01103000237783231,0.00553800251148144,0.0056979696946666755,0.006071406062712251,0.005035562438549003,0.006855367879003432,0.00670173088818686,0.005640676524142802,0.006314125974705622,0.005599467464571493,0.005736603298890496,0.006160989139456003,0.005056003051965265,0.005741742127810845,0.004977707348682217,0.008916514300985518,0.004722467678283761,0.009591139398569402,0.008263970334950294,0.005873437963735254,0.0051153274161890175,0.1460282505747574,0.007405763124582827,0.004809516676903887,0.004281204378444737,0.003436444949363965,0.0012135301666566787,0.00554746535020171,0.006204495372033455,0.004430872120269549,0.00420861662680485,0.011884110886593061,0.017178996019986306,0.010148707585061053,0.0,0.0,0.0
C13T15,0.005072733485615835,0.003285058551176631,0.010982080508084786,0.0057378183862905035,0.004199129267846599,0.0070775502410948135,0.0060448973351795434,1.3054097647610485,0.00499654024291245,0.015322470747729003,0.001816638998656239,0.007479695880183299,0.005318571146172755,0.011812225470116258,0.006847604554003846,0.005400113040899262,0.005138098637823012,0.005485291941295534,0.007086566297291793,0.006697998991538825,0.006450247936264113,0.014844877312054264,0.008318128511597609,0.007893597254326952,0.02433729703533994,0.004399625288352378,0.005381068131191708,0.0054443207872847,0.0053675399164798574,0.003203571486510159,0.0036764450192693582,0.004510901789718363,0.003399749364008994,0.005720246998172948,0.006689819117419279,0.0045651233545254254,0.0030349985439585415,0.002025675208490124,0.0014786652820512557,0.0008119095846077232,0.0038025162050058354,0.0054521592534561595,0.003920742344374971,0.0018310250673657066,0.007629120792375582,0.011509057878511341,0.011500046920852863,0.0,0.0,0.0
C16,0.012280971954459456,0.014954824994787322,0.0066730130552532865,0.011455163813792538,0.009359021916670065,0.013331524090257655,0.014015026519281232,0.010125223431202634,1.2403188252798123,0.043347916258793674,0.0035599165282779173,0.013185823295729367,0.007360359824071813,0.012377935585468075,0.01892863074669151,0.020964599931959003,0.022199538573955204,0.014399915378465161,0.011270490529407404,0.014155114397158651,0.012450602162788989,0.016067749141830536,0.027347636549893507,0.013548168572753939,0.08585259912913924,0.014328260432515148,0.02919918142335628,0.05494751883173803,0.0073057394369115325,0.00604076219977517,0.006971947425846634,0.00826302268240483,0.009201144107548926,0.005215729766007472,0.008213260717905858,0.007686893270300687,0.005661140116854104,0.003267184577609577,0.0026273147921021707,0.004688763516307676,0.006906482929136383,0.005480342654665559,0.004792049533348269,0.0027178385619327314,0.007080001634941607,0.00787299289938747,0.010868096081129902,0.0,0.0,0.0
C17_18,0.019304815649885752,0.006972772104773483,0.011226983694893077,0.01597453720336076,0.012412716637784194,0.019776006807912652,0.046851341011994334,0.022637576862595363,0.01820493879764281,1.362496512815496,0.006973026844769326,0.02721835525038498,0.031544226393111344,0.02658811225905689,0.028354772716151284,0.018459027697489205,0.02000781321926929,0.017578208029041368,0.025166300443298196,0.024475504453145308,0.019174807923339005,0.02047951094869729,0.016079050763453586,0.018872409870347738,0.024368814661273958,0.02318540618694675,0.016635310270665327,0.014972388607244185,0.019016978822263997,0.01092201651717396,0.013597935588904146,0.013722095363257494,0.013320683810043992,0.024998802387308634,0.01870923661828428,0.08951758050322221,0.020176760071791856,0.01894047697896314,0.014698772897029292,0.0035526399907670906,0.026639298495224173,0.02068589959968897,0.012146726076707439,0.011405683025359149,0.017931249151706453,0.023172652867984554,0.02460748732380925,0.0,0.0,0.0
