sector,v_share,txs_direct,imp_other_direct,p_hat
A01,0.3134017232807105,0.030336130286333855,-7.104071050027316e-05,0.9283518020424245
A02,0.4506755379187375,0.013580181401571115,0.0002361978843532068,0.9631662022163068
A03,0.5829304738651466,0.05510582189150376,0.0012219617956554022,0.9308099741348879
B07,0.35686751282944884,0.049805396748542806,0.0013142037760745745,0.9054075110301141
B08,0.4571557397897516,0.03821866926762002,0.0010310621937556098,0.9179886932171177
B09,0.0752002060600384,0.06689926474031752,0.0016742378120170466,0.9081410445131967
C10T12,0.2041119444040841,0.021814807165129412,-0.00125647132931281,0.9364993110060589
C13T15,0.3510382360659858,0.018420439018319947,0.0023486716221327725,0.9517010118027734
C16,0.29880868732563154,0.00893950040098023,0.0006997498115103258,0.9561879378852381
C17_18,0.25180409799333675,0.019881333453479533,0.0014751372962629895,0.9238889404846155
C19,0.06616325691033945,0.005467149817959941,0.007373684015560668,0.33169722945467855
C20,0.17551091392024146,0.009674131341813011,0.003047147994400612,0.8476047872902934
C21,0.43498123259112,0.018666610778610444,0.001838816849849751,0.9557617441553546
C22,0.2808652455018447,0.02469784237538669,0.0026393359707350354,0.9200095833129074
C23,0.32765567295373793,0.027267265443315546,0.0011723294557285566,0.9136700840663
C24A,0.15052643284266867,0.0277433449385135,0.0012002262046042302,0.8827215112167299
C24B,0.19987148115594824,0.018368513073043127,0.000787818615679299,0.897177091514727
C25,0.34336530019302347,0.012678719416533016,0.000934815261311372,0.9405683518766943
C26,0.17437678930519693,0.01799529798047195,0.004313210876381618,0.9507457866371362
C27,0.22639644464488728,0.020436849092034144,0.002824365081602165,0.9424358473496373
C28,0.29937812131906677,0.018083664366808787,0.0018275003521539001,0.9498145634375895
C29,0.15092532754813442,0.026980968154914232,0.00580699785628528,0.942814066537615
C301,0.28664251889825354,0.017535189851420628,0.0016753193153184465,0.9508631418477871
C302T309,0.24084642714731833,0.01675112120682626,0.0024552301330215015,0.9490966928482538
C31T33,0.3993490302921502,0.022223082672448893,0.0017956520667818886,0.9563067076936677
D,0.08020442596159873,0.00901723210085484,0.00232964083538866,0.6672727697603202
E,0.35904736988479913,0.02289621446665999,0.0005948741874590626,0.9352220430132655
F,0.32741595668588136,0.020772234561063925,0.0009391192002548036,0.9558546617789896
G,0.5352517392538486,0.028391873505322966,0.0007582291548751305,0.9651408987100623
H49,0.39242742348212284,0.09221235932070376,0.0020891996980967665,0.893631348479446
H50,0.23239736069025826,0.02331119118356662,0.0024172719860824296,0.8178879391215066
H51,0.12008294039032379,0.01382783165192786,0.003309491955062513,0.7565713822334681
H52,0.4343921807001367,0.031177567400359527,0.000634281895649812,0.9512634836894812
H53,0.4027870416620554,0.029988813548169038,0.0007634603823134418,0.9508756398005414
I,0.5229687262559175,0.02722001827173785,0.00012204832287578888,0.9612538322333055
J58T60,0.4167665111525871,0.026606562803230434,0.0007843875107133553,0.9738774630240613
J61,0.4205294210724571,0.021164237494081067,0.0008009007402649083,0.9720919187110436
J62_63,0.5654468217373678,0.014362611178937766,0.00045619234447511045,0.985074530806818
K,0.6181735887081652,0.015783646103100867,0.00023096605626622807,0.987267333259582
L,0.8370651212335709,0.006776254422277799,3.301520962201528e-05,0.9918983860936625
M,0.51745454616578,0.017726089580174603,0.0004695079238426668,0.9792772230161597
N,0.6317755853457088,0.018869829447834125,0.00027665283636485704,0.9790201810539892
O,0.7520388649716859,0.013823123735934832,0.00020841725154161693,0.9816891593194002
P,0.8539978316444633,0.007252003000003576,0.00011761858554603299,0.987815255988305
Q,0.5658177334255674,0.018680345366059538,0.0009894633784090542,0.9700330341824277
R,0.44292959549022304,0.027933813839143316,0.0004444208612296354,0.9640953220050645
S,0.5488941621737156,0.026017973471224805,0.0005810057169379312,0.9642354821320998
T,1.0,0.0,0.0,1.0
