sector,x_ext
A01,10303.951
A02,2506.373
A03,859.274
B07,751.786
B08,951.446
B09,85.412
C10T12,23806.353
C13T15,12986.064
C16,4833.156
C17_18,8267.705
C19,13281.692
C20,7940.868
C21,2004.006
C22,6376.225
C23,6388.136
C24A,3785.953
C24B,1053.542
C25,9784.821
C26,3469.573
C27,3725.085
C28,3783.857
C29,13211.646
C301,368.288
C302T309,1115.985
C31T33,6818.136
D,23034.452
E,5821.399
F,32084.319
G,50875.121
H49,11457.976
H50,1081.798
H51,5563.996
H52,9800.059
H53,1337.332
I,25907.771
J58T60,3178.276
J61,6774.872
J62_63,11144.422
K,19331.845
L,31954.969
M,21473.546
N,15669.458
O,19604.903
P,13705.317
Q,26603.309
R,5069.519
S,4800.297
T,1265.605
TXS,34230.238
IMP_OTHER_plus,1206.027
