sector,y_ext
A01,2779.3750000000005
A02,-80.48699999999997
A03,708.756
B07,672.354
B08,86.18300000000005
B09,44.231999999999985
C10T12,15688.109000000002
C13T15,8949.488000000001
C16,1313.565
C17_18,2924.1580000000004
C19,2086.344000000001
C20,-3123.4040000000005
C21,35.29899999999998
C22,1531.739
C23,1174.921
C24A,-1141.4750000000001
C24B,-699.4739999999999
C25,2358.3559999999998
C26,936.085
C27,763.2719999999999
C28,1533.2869999999994
C29,7416.978000000003
C301,255.80800000000002
C302T309,504.5429999999999
C31T33,3709.1699999999996
D,2316.684
E,1511.0610000000001
F,20392.066000000003
G,21652.025999999998
H49,5384.862999999999
H50,540.7049999999999
H51,4757.120000000001
H52,2931.287999999999
H53,-78.05900000000008
I,22715.493
J58T60,702.5999999999997
J61,3302.852
J62_63,3904.145000000001
K,6099.892
L,26104.846999999998
M,4452.25
N,975.0360000000001
O,17924.507
P,13195.174
Q,24607.196000000004
R,3572.578
S,4198.219
T,1265.605
TXS,23902.218999999997
IMP_OTHER,646.264
